view_mode	count	zoom_level
standard_hd	1	13
photo	1	19
traffic_hd	1	6
standard	1	16
photo	1	19
standard	2	18,19
photo	4	11,19
standard	1	14
photo	1	6
standard	2	19,15
standard_hd	1	16
photo	1	18
standard_hd	1	11
photo	2	18
standard_hd	2	11,16
photo	3	18
standard	1	15
photo	3	18
standard	1	17
standard_hd	2	19
public_transport_hd	1	17
traffic_hd	1	18
standard_hd	6	19,14
standard	1	8
photo	1	11
standard_hd	1	19
standard	6	18,19,14,15
traffic	1	8
photo	1	11
standard_hd	1	14
standard	3	11,19,9
photo	1	19
standard_hd	3	19,15
traffic_hd	1	8
standard	4	19,15
traffic_hd	1	8
standard	1	11
photo	2	18
traffic	1	17
standard_hd	1	19
photo	1	18
standard_hd	2	19
